gbifid,anio,mes,taxonrank,scientificname,decimallatitude,decimallongitude,eventdate,individualcount,locality,stateprovince,issue,comunidad_autonoma,nombre_cientifico
3412789915,2003.0,12.0,species,"Tursiops truncatus (Montagu, 1821)",43.41,-2.64,,,desconocido,bizkaia,geodetic_datum_invalid;geodetic_datum_assumed_wgs84;continent_derived_from_coordinates,país vasco,Tursiops truncatus
3412789914,2005.0,7.0,species,"Delphinus delphis Linnaeus, 1758",43.71,-2.82,,,desconocido,desconocido,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,no asignado,Delphinus delphis
3412789913,2018.0,9.0,species,"Balaenoptera physalus (Linnaeus, 1758)",43.66,-2.82,,,desconocido,desconocido,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,no asignado,Balaenoptera physalus
3412789912,2003.0,8.0,species,"Ziphius cavirostris G.Cuvier, 1823",43.72,-2.46,,,desconocido,desconocido,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,no asignado,Ziphius cavirostris
3412789911,2005.0,9.0,species,"Delphinus delphis Linnaeus, 1758",43.69,-2.36,,,desconocido,desconocido,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,no asignado,Delphinus delphis
3412789910,2005.0,7.0,species,"Delphinus delphis Linnaeus, 1758",43.65,-2.89,,,desconocido,desconocido,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,no asignado,Delphinus delphis
3412789909,2002.0,8.0,family,Balaenopteridae,43.93,-3.51,,,desconocido,desconocido,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,no asignado,
3412789908,2002.0,9.0,species,"Globicephala melas (Traill, 1809)",43.43,-2.73,,,desconocido,bizkaia,geodetic_datum_invalid;geodetic_datum_assumed_wgs84;continent_derived_from_coordinates,país vasco,Globicephala melas
3412789907,2002.0,2.0,species,"Delphinus delphis Linnaeus, 1758",43.39,-2.42,,,desconocido,bizkaia,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,país vasco,Delphinus delphis
3412789906,2004.0,8.0,species,"Tursiops truncatus (Montagu, 1821)",43.63,-1.94,,,desconocido,desconocido,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,no asignado,Tursiops truncatus
